id,type,text1,text2,text3,notes

PLSP_electgenerator,WEAPON,电荷发生器运用最简单的线性加速器和难以计量的电容组，能在短期内爆发出一阵难以规避的火力，尤其适合中距离交战。,突击,,
PLSP_electemitter,WEAPON,以脉冲形式借助隐藏在外壳之下的数个回旋加速器，这种进阶设备同步发射最终混合了多种核的粒子束，在任何有效的闪避行为被实施之前击中目标。,突击,,
PLSP_electprojecter,WEAPON,相较于这一系列武器的其他版本，它做出的最大改进就是以一套庞大的幅能分流器替代暂存设备，这使它的缓冲与预载需求被降为了最低。,突击,,
PLSP_impulses,WEAPON,这种发射管是北极星滥用线性加速器的最好证明。以如此高出膛速度介入战斗的重型动能弹头，能在短兵交接之际损毁一切在其行动路径上的目标。,打击,,
PLSP_impulsem,WEAPON,秉承此系列一贯设计风格的双管发射台，更大的载弹量和异步发射设计能通过波次策略，有效地解决单次打击效果溢出的问题。,打击,,
PLSP_impulsel,WEAPON,连续发射填装了更具毁灭性的战斗部和更多续航燃料的动能导弹，这款将杀伤能力反复体现的发射器能造成的战术效果无需重复强调。,打击,,
PLSP_pulsehp,WEAPON,采用波次射击模式，能在顷刻之间倾泻大量重粒子团的脉冲炮。部分表现的射线性质使之更适合瓦解装甲和结构而非护盾，或者进行覆盖打击。,突击,,
PLSP_pulseo,WEAPON,叠加式脉冲炮是一种相对简单的改进型号，采用支持能力更强的导引和聚焦系统以及电容器，明显地提高每一小团无序抛射物的杀伤能力。,突击,,
PLSP_pulsesc,WEAPON,"它的使用者大多不知道""超临界""到底对应着哪种解释，然而这毫不影响这类宏伟脉冲炮的极高效率。大幅提升过的单次伤害能力，意味着最重型的装甲也会在几次投射内被融尽。",突击,,
PLSP_etherstrike,WEAPON,来自天堂与大地的四重打击，专用发射极能够将抛射体的速度增幅到难以想象的程度。,打击,,
PLSP_guidingpds,WEAPON,这种点防御武器使用了一种特殊的场效应延拓加速器。它可以将极化束缚的能量团以极高的速度射出，并控制其弹道诱导追踪目标。,点防御,,
PLSP_guidingpdm,WEAPON,放大线性加速腔，提升了功率，优化了束缚效率，并且扩展额外的附加式场效应延拓加速器，精准击落任何来袭的导弹或战机。,点防御,,
PLSP_guidingpdl,WEAPON,多个大小不一的场效应控制器，四联重型场效应延拓加速器阵列，联合式二级加速单元，高扭矩复合武器挂仓。这一系列的设备升级将展现无与伦比的顶级点防御性能。,点防御,,
PLSP_streammicrowave,WEAPON,将缓存在电容组之中的能源在一瞬间内全数注入激光器中，威力足以穿透陨石，并在此后通过布满武器全身的微管导出产生的幅能。为了保持其高精度，发射前需要预瞄校准。,压制,,
PLSP_streampolarization,WEAPON,除了更大的电容组，更密集的幅能微管之外，优化的频谱重定向协议使其能够投射出更加纯净、更具破坏力的粒子射流。,压制,,
PLSP_streaminvert,WEAPON,大型武器适配的零件规格允许将激光器的谐振腔也用于能量储备。在能量转换时的多重逆反馈效应爆发出的能量洪流，若控制不当则足以撕裂时空。,压制,,
PLSP_iccannon,WEAPON,将高度单晶化金属氢压缩至准临界状态，并将不稳定的菱晶状弹体发射出膛。弹体在命中目标后会瞬间碎裂，以蕴含高动能的无数晶块碎片覆盖一大片区域。,区域防御,,
PLSP_icflak,WEAPON,碎晶高炮采用更大质量的预处理载荷，由于质量的增加，弹体会在碰撞的瞬间越过临界状态并产生爆炸。除此之外，碎裂的晶块仍然带有极高动量，在受到冲击后会再次碎裂，造成次级范围打击。,区域防御,,
PLSP_icculverin,WEAPON,最大型的碎晶武装加装了通常用于弹射大质量实体的线性加速器，使其能将处于极限宏观稳定质量的氢块投送到相当远的距离，形成一阵混乱的晶体风暴撕裂一切护盾结构。,区域防御,,
PLSP_interferometerhyperbolic,WEAPON,武器化射线发生器，每次宏展开一枚光子并使之以诡异的路径轰击目标，足以彻底摧毁任何轻质装甲或小型船体。,压制,,
PLSP_interferometerresonant,WEAPON,运用宏粒子下的谐振技巧，使得加装了额外波能组件的加速极能并行激发两枚弹丸形成投射波次，但依然精准地足以比拟激光武器。,压制,,
PLSP_interferometerdegeneracy,WEAPON,缩退模式下运作的衍射组件能一次激发大群有效弹丸，使之以近似球状闪电的半随机状态烧毁任何实体结构材料。,压制,,
PLSP_magnetics,WEAPON,装载了微量极高密度物质的弹头，在接近目标时使之定向融合并产生极度可怕的射线、磁场与高能带电射流。因安全性与成本考虑，单枚 MIRV 携带的材料远远不足以引发伽马射线暴。,打击,,
PLSP_magneticm,WEAPON,装配 磁陀星 级弹头，虽然大小仅为无人机规格，但作为等体积下爆发能力最强的射线源，它安置了两组共四单位能维持高密度物质稳定的引力消退容器，能产生更猛烈的电磁洪流。,打击,,
PLSP_magneticl,WEAPON,为了弥补即使是大型舰载槽位也无法搭载""磁星""系列下空际导弹规格武装的缺陷，它转而将更多的内部容积用于安置拓展发射架和无惯性装填器，以更大的投射量贯穿任何防御。,打击,,



PLSP_redshiftw,WEAPON,一种具有可怕功率和极高幅能效率的脉冲激光炮，为射程所限制。,突击,,
PLSP_blueshiftw,WEAPON,弹射大量引力子炮弹，塌陷效应对护盾和精密电器能造成毁灭性打击。,突击,,
PLSP_nebulablaze,WEAPON,内嵌于特殊战机的主武器，迅捷的抛射物具有类似于重型冲击波的强大破坏力。,突击,,
PLSP_perturbationw,WEAPON,三联装能量飞弹，由位于轰炸机中心的聚能环进行充能并投射，射程极佳。,轰炸,,



PLSP_perturbation,SHIP,"这种缓慢的能量轰炸机以吸附性微缩载体为基础发射脉冲，内嵌在机体中央的环状聚能器提供了爆发潜力，使其足以在安全距离完成它的一切轰炸职能。

为了弥补脉冲环所带来的结构缺陷，它内置了一套阻尼力场以最小化必要时刻的风险。",,,
PLSP_redshift,SHIP,"昂贵的重型战斗机，过度武装和一体化闪现系统使其在对付大型目标上自如无比，对于其他战斗机的截击也有一战之力。

总体而言，这种难以评价的重火力设计已经诠释了北极星注重于质量而非数量的战机理念。",,,
PLSP_blueshift,SHIP,"注重于速度和护盾能力的轻型战斗机，以最全方位的防护能力保护脆弱的结构。相较于造成直接损伤，固化于核心部分的武器组更适合进行大面积瘫痪。

过度紧凑的设计还在引擎前方区域加装了微型旋流驱动设备，但这也显著增加了对于后勤的压力。",,,
PLSP_comettail,SHIP,"与通常以数量淹没敌方战机或以高精度打击抵御导弹完全不同，这种战机采取最简单直接的方法净空一大片区域，丝毫不给任何漏网之鱼留下出现的机会。

相较于针对携带厚重装甲的英仙座现行设计，它原更预期用于应对携带坚固护盾的先进战机。",,,
PLSP_occultation,SHIP,"月掩级支援机将防御与反击完美结合，它能通过产生相对自身体积而言较大的坚固护盾，避免附近的其他战机遭到损失，并在壳层系统停止运作时迅捷地爆发能量洪流。

其内置武器的原本名称为脉冲波发射器，但大部分舰长一致认为它需要一个更具特色的代号。",,,
PLSP_moonphase,SHIP,"舰队联防学说的成果之一，旨在从纵观上通过大量长距离点防御发射器和攻击型超距涨落设备覆盖整个舰队附近的领空，以应对大量低机动高装药量导弹的威胁。

然而，过大的武器载体使之最终只能以单机形成连队，却也降低了硬性整备速率要求。",,,
PLSP_subobject,SHIP,"一种纯粹的无人轰炸机，机械而高效地重复着整备—启航—轰炸—返航这一标准循环。",,,



PLSP_meteoroid,SHIP,"可能是北极星舰船蓝图库中最小巧精致而致命的设计，如同穿梭机大小的体型并没有限制它的战斗潜力。

围绕着一套以物理手段和硬编码特别加固过的控制设备所搭建的陨体级，在牺牲了部分拓展性的同时获得了远超其视觉印象所能支持的幅能系统，以及标准火力配置。它的配备能弥补任何一支舰队关于小型高机动舰船的空缺。

据称，它的前置武器插槽以及附属外廓结构，都是以重型冲击波的大小为参照设计的。",,,
PLSP_crescent,SHIP,"如此轻量级的护卫舰并非脆弱而不堪一击，相反，它极其优秀的构架设计提供了该体积下最为灵活的作战能力。

如果新月级的复合武器组难以在限定时间内完成歼灭任务，那么隐藏在尖端之后的聚焦电弧发生器将足以让任何坚固的堡垒不得不做出反应。能在一瞬间反复激发多次的脉冲将瘫痪一切防备不及的对手，甚至直接击穿薄弱的装甲。

只要它的船体结构能够再厚实一些，它就将成为北极星护卫舰永远的典范。然而这微小的缺陷并不妨碍它被大量装配并成建制地递送至前线，造成相当有效的战略效果。",,,
PLSP_quadrant,SHIP,"象限级护卫舰并非是小规模战斗的主力，而是在大型战场上突入乱军之中，利用时流裂位仪对敌方造成混乱的特种角色。

平常甚至于平庸的外表数据分析面板结果之下，埋藏着的是难以估量的战术潜力。相较于直接进入战场造成杀伤，它更适合在较为安稳的位置借由一套先进的时流设备造成干扰，从而安全地在战场上发挥应有的作用。

尽管它的辅助能力已经得到了充分的强调，舰长们依然难以忽视它的火力配置在紧急情况下所带来的自保能力。",,,
PLSP_facula,SHIP,"作为北极星的一种主流护卫舰，光斑级有着相对稳健地多的幅能系统，易于操作而全方位火力覆盖的武器组和远超该水平的应急护盾固化器。

圆滑而厚实的共振反应外壳带来了更为值得信赖的装甲防护，但相较于此，它更为值得注意的是一套紧凑的代号为固能壳的护盾强充能系统。借用了与护盾堡垒相似的激励和一套用于限制能耗的制停器，这艘护卫舰能做出最大限度的防御行为。

而作为主力必不可少的总和武器阵列，也为它的战术选择带来了无数种结果。尽管在速度上并不见长，光斑级护卫舰依然能胜任绝大部分不需要直面战斗机群的任务。",,,
PLSP_evolution,SHIP,"这种中规中矩的护卫舰组成了北极星舰队们的先锋梯队，演化级护卫舰凭借着经典而有着充分灵活性的火力配置和旋流驱动系统活跃于这个势力涉足的任何一场战斗中。

最为常见并不意味着平庸，它集成到幅能核心的护盾协稳器提供了毫不逊色于任何同规模舰船的直接防御。而身为护卫舰所具有的高机动性，连带那一套往往被用于快速转场和躲避高伤害抛射物的驱动装置，使演化级护卫舰有能力避开任何难以攻克的目标。

如同锤头级一样意义重大的标杆设计。",,,
PLSP_lightcone,SHIP,"光锥级驱逐舰是一种专注于在二线进行中远距离支援的设计，紧凑的中部结构被单个固定测距系统和为炮塔传导幅能的管线所占用，而护盾发生器和战备维持系统则做出了一定程度的牺牲。

相较于北极星一贯的重视耗散能力的风格，这艘庞大的驱逐舰在幅能容量负载器和耗散接口的数量上取得了均衡。而除了强大的的攻坚能力之外，一套能作用于低质量目标的事件扰断装置则提供了额外的防护能力，让它在大规模会战中能够委身于辅助更大的友方单位。

它重视两侧超重型装甲的舰船构造直接影响了引擎的排布和角度，尽管限制了最大速度，但与此同时提高了飞行稳定程度，显著增加可操控性。",,,
PLSP_pemumbra,SHIP,"令所有与之交锋的舰长印象深刻的激进设计，半影级驱逐舰以不同寻常的突进能力，体现着与大部分出自北极星的舰船不同的战斗风格。

数个几乎固定指向前方的炮塔与标志性的旋流驱动系统，已经从硬件上提供了难以比拟的快速打击能力，尽管护盾发生器的地位将受到此布局的限制。不过，相较于单舰从战线侧面切入，它更适合成编队地集群行动，或者带领其他搭载了同样战术系统的舰船英勇陷阵。

需要特别注意的是，它为核心区域空间大小而做出了让步的幅能稳流器，使它的幅能容量即使以北极星标准来评定都被认为是相当低的水准。",,,
PLSP_corona,SHIP,"一种以调控战场情景而对战局进行影响的辅助型舰船，冕级驱逐舰能在稳居战线后方的同时直接以可怕的效率和令人胆寒的气势冲击远处的敌舰，迫使对方维持劣势战线。

其设计风格所惯有的多个炮塔，它们的主轴朝向各异而覆盖区域大的射角，能为舰船提供全方位防护。而除了这些以及优异的损伤管制系统之外，其最亮眼的特质是一套金贵的日冕压缩器，将大量高热物质以任何战机都无法躲避的速度广域抛洒而出，清空战场中的轻型装甲单位、延缓对手抛射的弹体，甚至锁定那些能抵抗它直接伤害的舰船的阵型。

更偏向于坚守的设计，通常被成编队地被投放于战场边缘以防止舰队主体被包围，而驾驶它进行突击或正面接敌往往是不被建议的。",,,
